event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR40152,"11 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Or Yehuda",32.0292,34.8579,1,"Ma'ariv; N12; Srugim; Walla!News",National,"On 11 May 2024, a demonstration took place outside of a police station in Or Yehuda (Tel Aviv), likely calling for the release of demonstrators who were arrested during earlier demonstrations in Tel Aviv city. Two demonstrators attacked police officers. One officer was bitten and the other was 'attacked with an object,' causing a broken tooth. Police forces arrested the two attackers.",0,"crowd size=no report",1721086473
ISR40148,"11 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)","Journalists (Israel)",Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"13 News; Haaretz; Jerusalem Post; Kan News; N12; Srugim; Times of Israel; Walla!News; Ynet",National,"On 11 May 2024, thousands marched and demonstrated throughout Tel Aviv city, following the main demonstrations in the city, calling for the release of hostages and early elections. Relatives of hostages took part in the demonstrations. Demonstrators blocked traffic and lit fires on Ayalon Highway. Demonstrators clashed with police forces. One demonstrator and two police officers were injured in the clashes. Police used a water cannon to disperse demonstrators. Police forces arrested about 30 demonstrators by the end of the night, most of whom were released overnight. Among those arrested were journalists from the news outlet Al-Araby Al-Jadeed, on suspicion that they were reporters for Al Jazeera.",0,"crowd size=thousands",1721686968
ISR40163,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains",Jerusalem,31.769,35.2163,1,"Times of Israel; Ynet",National,"On 11 May 2024, hundreds protested in Paris Square in Jerusalem (Judean Mountains), calling on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Protesters also called for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Relatives of hostages took part in the protest.",0,"crowd size=hundreds",1722903299
ISR40088,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Former Military Forces of Israel (2022-)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaMerkaz,"Petah Tiqwa","Southern Sharon","Kfar Saba",32.175,34.9069,1,Ynet,National,"On 11 May 2024, thousands protested in Kfar Saba (Petah Tiqwa, HaMerkaz), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. A retired IDF major general spoke at the protest.",0,"crowd size=thousands",1725924058
ISR40092,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Government of Israel (2022-); Yesh Atid",Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv",Herzliya,32.1663,34.8254,1,"Haaretz; Ynet",National,"On 11 May 2024, about 3,000 protested in Herzliya (Tel Aviv), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas. Opposition Leader and Yesh Atid MK Yair Lapid spoke at the protest.",0,"crowd size=about 3,000",1725924058
ISR40165,"11 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaMerkaz,Rehovot,Rehovot,Rehovot,31.8942,34.812,1,Ynet,National,"On 11 May 2024, hundreds protested in Rehovot (HaMerkaz), calling for early elections and Netanyahu's dismissal due to the government's handling of the Israel-Hamas War. Protesters also called on the government to secure the immediate release of all hostages being held in Gaza by Hamas.",0,"crowd size=hundreds",1729632673
ISR40079,"10 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Building an Alternative; Women (Israel)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Yad Mordekhay",31.589,34.5582,1,"Israel Hayom",National,"On 10 May 2024, dozens protested outside of Minister and National Unity MK Benny Gantz's home in Yad Mordekhay (Ashqelon, HaDarom), calling on Gantz and his National Unity party to leave the emergency wartime government. Protesters also called on the government to reach a deal to secure the release of hostages.",0,"crowd size=dozens",1716327789
ISR40065,"09 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Tzav 9",Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Arava,Eilat,29.5581,34.9482,2,"Haaretz; Ynet",National,"On 9 May 2024, hundreds protested near Eilat (Beer Sheva, HaDarom) against providing humanitarian aid to Gaza. Protesters attempted to block aid trucks from continuing toward Gaza, likely by standing or walking on the roads. Tzav 9 organized the protest.",0,"crowd size=hundreds",1716240620
ISR40066,"09 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)","Government of Israel (2022-); Tzav 9",Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,HaDarom,"Beer Sheva","Northern Negev Mountain","Mitzpe Ramon",30.6185,34.8063,1,"Haaretz; Kikar HaShabbat; Ynet",National,"On 9 May 2024, about 150 right-wing Tzav 9 activists demonstrated at the entrance to Mitzpe Ramon (Beer Sheva, HaDarom) against providing humanitarian aid to Gaza. Demonstrators blocked a convoy of about 40 aid trucks for over six hours by placing rocks in the road and building a makeshift wall. Demonstrators clashed with police forces, who dispersed the demonstrators using water cannons. Police detained about 25 demonstrators and arrested at least two. The mayor of Mitzpe Ramon took part in the demonstration.",0,"crowd size=about 150",1716240620
ISR40071,"09 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains","Har Herzl",31.7743,35.1808,1,"Now 14",National,"On 9 May 2024, about 50 to 80 protested at Har Herzl (Judean Mountains, Jerusalem), calling on the government to reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas.",0,"crowd size=about 50 to 80",1716327789
